pickup_datetime,passenger,pickup_geohash,dropoff_geohash,fare
2009-06-15 17:26:21,1,dr5rxth4yu4c,dr5rxeqnjy8v,4.5
2010-01-05 16:52:16,1,dr5reer0t0fm,dr72h81uqhe9,16.9
2011-08-18 00:35:00,2,dr5rukr7t72n,dr5ru63jpp74,5.7
2012-04-21 04:30:42,1,dr5rsrhpybjq,dr5ru7bcpe0c,7.7
2010-03-09 07:51:00,1,dr5ruvd4f7wb,dr72j06qth30,5.3
2011-01-06 09:50:45,1,dr5rsnfnuw1v,dr5ruey9ftmf,12.1
2012-11-20 20:35:00,1,dr5rud97th2k,dr5rutjbmmr6,7.5
2012-01-04 17:22:00,1,dr5rvnwq9f4p,dr5ru6d01cfq,16.5
2012-12-03 13:10:00,1,dr5reyn4k3w6,dr5rsnzyumf1,9.0
2009-09-02 01:11:00,2,dr5rsx2uj8r1,dr5ru7c125sg,8.9
2012-04-08 07:30:50,1,dr5rspvx03tt,dr5rsx2fhmb0,5.3
2012-12-24 11:24:00,3,7zzzzzzzzzzz,7zzzzzzzzzzz,5.5
2009-11-06 01:04:03,2,dr5ru32gnsz6,dr5ru3r4vr0r,4.1
2013-07-02 19:54:00,1,dr5reyqyy5h5,dr5reghq5r4e,7.0
2011-04-05 17:11:05,2,dr5ru0192t4v,dr5rsjk72jzk,7.7
2013-11-23 12:57:00,1,7zzzzzzzzzzz,7zzzzzzzzzzz,5.0
2014-02-19 07:22:00,1,dr5rukhwzjrh,dr5rsrfyet4m,12.5
2009-07-22 16:08:00,1,dr5ru80dhrg6,dr5rsnrh4wq9,5.3
2010-07-07 14:52:00,1,dr72hb9hctg3,dr72j02uk8u2,5.3
2014-12-06 20:36:22,1,dr5rud9t135s,dr5rue3ccuqc,4.0
2010-09-07 13:18:00,1,dr5ru3vmrxk8,dr5rusd86bef,10.5
2013-02-12 12:15:46,1,dr5rvp9kqg83,dr5rugzj1uwf,11.5
2009-08-06 18:17:23,1,dr5ruq0ckkbr,dr5rukv3tg53,4.5
2010-12-06 12:29:00,1,dr5ru1f7hr92,dr5ru2se1d4b,4.9
2009-12-10 15:37:00,1,dr5rug8fwfkn,dr5rus0dd1nb,6.1
2011-06-21 16:15:00,3,dr5ru70gb3en,dr5ruwertseq,7.3
2011-02-07 20:01:00,1,7zzzzzzzzzzz,7zzzzzzzzzzz,6.5
2011-06-28 19:47:00,3,dr5ruk4vjud9,dr5ru7sxwzhp,4.5
2012-05-04 06:11:20,1,dr5rkrd9m36t,dr5revzu6dyg,9.3
2013-08-11 00:52:00,2,dr5ru80dtkch,dr5rswbbm6zw,4.5
2014-02-19 16:03:00,1,dr5rudu20d06,dr5rus085c6v,5.5
2015-06-21 21:46:34,1,dr5reu7jwg0n,dr5rk3vpy9d7,22.54
2009-01-09 16:10:00,3,dr5ryyxm1dww,dr5rumy5g4hb,31.9
2011-09-07 14:05:00,2,dr5ru9khy2r8,dr5ru24jgvzf,5.7
2011-09-07 23:05:44,1,dr5ru0xkm2v8,dr5rkhgq7yzx,18.1
2015-01-11 03:15:38,1,dr5ru2qbpryf,dr72ms52rdst,58.0
2015-03-12 08:08:38,1,dr5ru73zxbrg,dr5ruktkdnh3,4.5
2012-01-19 10:15:30,1,dr5ru5nmdfht,dr5rgfwbkbdh,5.3
2013-11-24 11:42:00,6,dr5rvn9eec05,dr5ruege2btf,9.0
2009-03-02 20:42:49,1,dr5rueyxrycp,dr72hcbfbmzn,9.8
2011-03-29 15:39:49,1,dr5ru3qk9ehp,dr5rus01ytwk,8.1
2011-10-15 10:55:24,2,dr5rsjb524j3,dr5rut5uqyzs,10.9
2013-11-22 08:38:09,1,dr5rusdt1pj9,dr5reuhwv6h5,17.5
2009-06-10 21:28:00,1,dr5rsrgpmskr,dr5rvpbvjdmj,12.1
2011-03-04 18:12:00,1,dr5rspvnb0fj,dr5rsrsfy62k,5.3
2011-08-31 21:14:15,1,dr5ruezyh1ge,dr5rsxfgvr13,6.9
2011-06-01 20:30:00,1,dr5ru92c3yku,dr5ru616fw66,4.5
2011-12-14 07:53:00,1,dr5rukfcn1w8,dr5rukjmepw3,3.3
2012-07-18 00:16:00,5,dr5ru7kt3f7x,dr5ru6d7f7ug,3.3
2013-01-29 12:26:00,1,dr5ru2brpt9r,dr5ru7qu95pt,9.0
2011-12-06 09:09:21,1,dr5ru2mq6fxs,dr5rusjyenph,9.7
2012-10-06 20:31:36,3,dr5rvnm4qk8g,dr5rvpvxkvxr,5.5
2013-01-23 07:01:38,1,dr72h83nqj58,dr5rus9wtxr4,8.0
2013-09-07 03:17:00,1,dr5ru9e5fkqy,dr5ru9kmpkfb,7.5
2013-11-10 01:12:19,4,dr5rudt7m33h,dr72msf1xk49,25.5
2012-01-04 18:07:29,1,dr5ruers4zu3,dr72hgdh51gt,15.3
2010-05-31 18:06:00,1,dr5ru7vmw8gh,dr5ryyz2st0h,34.67
2011-03-19 21:55:00,4,dr5rsw1wzezk,dr5rsnemfyxq,9.7
2012-07-19 23:53:14,2,dr5ru03m3b90,dr72h9zq13h5,13.7
2009-03-23 12:13:29,1,dr5rsrv2qwbf,dr5rsmxx4v2f,6.5
2014-07-16 10:57:00,6,dr5ru0vdsybb,dr5ru22s2er2,5.0
2011-04-22 23:21:03,3,dr5regshyne9,dr5rsj2z1jpw,4.5
2012-01-02 14:54:00,1,dr5reyzznnvm,dr5rsj7p8kzg,4.9
2014-05-01 09:12:00,6,dr5ruv7ryscd,dr5ruw8xptpx,7.0
2011-11-07 10:47:40,1,dr5rgfzgx9q7,dr5rsr8ksvge,7.3
2012-10-07 17:59:08,1,dr5reup7hwt2,dr5redjuwh32,7.5
2014-01-17 09:03:00,4,dr5ru63j3cg2,dr5ru2v0xnf6,8.5
2014-04-29 18:28:00,6,dr5ruf2qye1m,dr5rsjsp82x8,16.5
2015-04-12 10:19:05,6,dr5rst3zjz5e,dr5rgcz2ptsw,11.5
2015-05-12 23:51:42,1,dr5rvpeub752,dr5rvrfcnpp5,5.0
2009-08-02 02:34:11,2,dr5rsjmzj648,dr5reuxjn6mq,6.9
2010-01-31 10:53:00,1,dr5rsnc9vj33,dr5ru0hcq6d1,3.7
